Time,Close,High,Low,Open,EMA,Signal
1718985600,10167234.25,10189683.508587893,10150220.0,10189683.508587893,10285788.802834528,-1
1718989200,10167948.0,10200000.0,10139653.0,10178458.879293947,10281313.045860624,-1
1718992800,10210054.0,10251988.0,10166657.0,10173203.439646974,10280081.710728835,-1
1718996400,10248480.0,10264560.0,10191628.719823487,10191628.719823487,10279451.016190449,-1
1719000000,10266702.25,10294878.0,10220054.359911744,10220054.359911744,10278822.192026118,-1
1719003600,10244722.75,10265000.0,10207545.0,10243378.304955872,10277414.655083917,-1
1719007200,10251443.5,10261805.0,10242930.0,10244050.527477935,10276657.570570823,-1
1719010800,10255512.5,10267428.0,10242509.0,10247747.013738967,10275769.19525432,-1
1719014400,10246709.5,10264130.0,10224704.0,10251629.756869484,10274523.344460035,-1
1719018000,10254490.75,10270399.0,10242416.0,10249169.628434742,10273998.821147878,-1
1719021600,10271007.0,10285503.0,10251830.18921737,10251830.18921737,10274226.436004825,1
1719025200,10278930.75,10284130.0,10261418.594608685,10261418.594608685,10274507.516945813,1
1719028800,10281952.0,10287257.0,10270174.672304343,10270174.672304343,10275007.496673428,1
1719032400,10290522.75,10299999.0,10275234.0,10276063.336152172,10275971.947784275,1
1719036000,10300089.75,10310000.0,10283293.043076087,10283293.043076087,10276943.440028029,1
1719039600,10302946.75,10313506.0,10284942.0,10291691.396538043,10278341.5012034,1
1719043200,10298312.5,10314613.0,10281747.0,10297319.07326902,10278575.010960128,1
1719046800,10285518.0,10297815.78663451,10275839.0,10297815.78663451,10279025.559549928,1
1719050400,10291588.25,10298000.0,10284385.0,10291666.893317256,10279609.027802872,1
1719054000,10288887.5,10293928.0,10282004.0,10291627.571658628,10279848.43847727,1
1719057600,10286920.5,10291261.0,10280690.0,10290257.535829313,10280247.20559581,1
1719061200,10287952.0,10290374.0,10282716.0,10288589.017914657,10280578.726944994,1
1719064800,10290013.0,10299509.0,10284663.0,10288270.508957328,10280837.561182445,1
1719068400,10284251.25,10290259.0,10275000.0,10289141.754478663,10280983.813685093,1
1719072000,10285721.75,10291612.0,10277908.0,10286696.502239332,10281290.330795482,1
1719075600,10284911.0,10289797.0,10279056.0,10286209.126119666,10281317.80801919,1
1719079200,10281773.5,10285560.063059833,10278001.0,10285560.063059833,10281339.737116477,1
1719082800,10280953.5,10285417.0,10275000.0,10283666.781529916,10281346.806249164,1
1719086400,10281695.0,10285127.0,10277909.0,10282310.14076496,10281381.206004098,1
1719090000,10284827.0,10289404.0,10278286.0,10282002.57038248,10281695.433219625,1
1719093600,10287083.25,10289698.0,10282811.0,10283414.78519124,10281881.102505129,1
1719097200,10284922.25,10289694.0,10279377.0,10285249.017595619,10281971.569073556,1
1719100800,10296746.5,10313046.0,10281094.0,10285085.63379781,10283018.095776554,1
1719104400,10305799.25,10314200.0,10289063.0,10290916.066898905,10284126.248883355,1
1719108000,10306739.75,10311970.0,10296325.0,10298357.658449452,10285038.474417342,1
1719111600,10306972.0,10313321.0,10302548.704224726,10302548.704224726,10285765.985224504,1
1719115200,10299943.75,10306945.0,10293887.0,10304760.352112364,10286141.94658825,1
1719118800,10294834.25,10302352.051056182,10287777.0,10302352.051056182,10286445.713388711,1
1719122400,10293700.25,10300133.0,10286284.0,10298593.150528092,10286761.41090288,1
1719126000,10296664.75,10301029.0,10291752.0,10296146.700264046,10287256.335965512,1
1719129600,10296578.75,10301029.0,10292887.0,10296405.725132022,10287482.244359022,1
1719133200,10296044.25,10300487.0,10293017.0,10296492.237566011,10287881.215168472,1
1719136800,10291624.75,10299997.0,10283846.0,10296268.243783005,10287768.226338336,-1
1719140400,10282514.5,10293946.496891502,10272417.0,10293946.496891502,10287675.354717227,-1
1719144000,10289610.5,10295750.0,10281542.0,10288230.498445751,10287992.007473415,1
1719147600,10289684.5,10300000.0,10279707.0,10288920.499222875,10287807.262082301,-1
1719151200,10275257.25,10289302.499611437,10263246.0,10289302.499611437,10286950.742000643,-1
1719154800,10260343.25,10282279.874805719,10252000.0,10282279.874805719,10285676.438392775,-1
1719158400,10245165.0,10271311.56240286,10230000.0,10271311.56240286,10283515.59767149,-1
1719162000,10244950.0,10264634.0,10230575.0,10258238.28120143,10282358.750703981,-1
1719165600,10254348.5,10259451.0,10250491.0,10251594.140600715,10281224.52518618,-1
