Time,Close,High,Low,Open
1719018000,10261148,10270399,10242416,10244000
1719021600,10279803,10285503,10257574,10261148
1719025200,10281394,10284130,10270396,10279803
1719028800,10287257,10287257,10271900,10281394
1719032400,10299601,10299999,10275234,10287257
1719036000,10300745,10310000,10290013,10299601
1719039600,10312594,10313506,10284942,10300745
1719043200,10284296,10314613,10281747,10312594
1719046800,10290064,10291873,10275839,10284296
1719050400,10293904,10298000,10284385,10290064
1719054000,10285714,10293928,10282004,10293904
1719057600,10290017,10291261,10280690,10285714
1719061200,10288701,10290374,10282716,10290017
1719064800,10287179,10299509,10284663,10288701
1719068400,10284567,10290259,10275000,10287179
1719072000,10288800,10291612,10277908,10284567
1719075600,10281991,10289797,10279056,10288800
1719079200,10281877,10285225,10278001,10281991
1719082800,10281520,10285417,10275000,10281877
1719086400,10282224,10285127,10277909,10281520
1719090000,10289394,10289404,10278286,10282224
1719093600,10286430,10289698,10282811,10289394
1719097200,10284188,10289694,10279377,10286430
1719100800,10308658,10313046,10281094,10284188
1719104400,10311276,10314200,10289063,10308658
1719108000,10307388,10311970,10296325,10311276
1719111600,10303590,10313321,10303589,10307388
1719115200,10295353,10306945,10293887,10303590
1719118800,10293888,10302319,10287777,10295353
1719122400,10294496,10300133,10286284,10293888
1719126000,10299382,10301029,10291752,10294496
1719129600,10293017,10301029,10292887,10299382
1719133200,10297656,10300487,10293017,10293017
1719136800,10285000,10299997,10283846,10297656
1719140400,10285400,10287241,10272417,10285000
1719144000,10295750,10295750,10281542,10285400
1719147600,10283281,10300000,10279707,10295750
1719151200,10265966,10288536,10263246,10283281
1719154800,10254456,10268951,10252000,10265966
1719158400,10230575,10265629,10230000,10254456
1719162000,10254016,10264634,10230575,10230575
1719165600,10253436,10259451,10250491,10254016
1719169200,10261756,10265005,10253436,10253436
1719172800,10206800,10262102,10195000,10261756
1719176400,10216876,10220335,10172003,10206800
1719180000,10179909,10216876,10170549,10216876
1719183600,10126784,10189462,10119800,10179909
1719187200,10104483,10145228,10080000,10126784
1719190800,10134208,10139999,10073808,10104483
1719194400,10061040,10144598,10043156,10134208
1719198000,10058351,10087315,10043104,10061040
1719201600,10055174,10065715,10020951,10058351
1719205200,9968390,10060805,9963157,10055174
1719208800,9972483,9976182,9940655,9968390
1719212400,9983863,10000458,9941003,9972483
1719216000,10026941,10075523,9968981,9983863
1719219600,9816842,10051395,9705001,10026941
1719223200,9767386,9831878,9734307,9816842
1719226800,9781842,9791766,9707182,9767386
1719230400,9768226,9819370,9753014,9781842
1719234000,9826138,9835805,9720002,9768226
1719237600,9800810,9843570,9763796,9826138
1719241200,9726273,9809231,9701000,9800810
